Year,Player,Pos,College,qb_career_plays,qb_seasons,qb_final_qbr,qb_best_qbr,qb_epa_per_play,qb_final_epa_per_play,qb_sack_epa_per_play,qb_run_epa_per_play
2013,Zac Dysert,QB,Miami (OH),2277.0,4,60.3,60.3,0.05213,0.08576,-0.04317,0.01968
2014,AJ McCarron,QB,Alabama,1181.0,3,82.5,84.9,0.11888,0.12475,-0.02345,-0.00017
2014,Aaron Murray,QB,Georgia,1950.0,4,88.1,88.1,0.11395,0.15982,-0.03318,0.01697
2014,Blake Bortles,QB,UCF,1030.0,2,79.6,79.6,0.13922,0.14167,-0.0267,0.04553
2014,Connor Shaw,QB,South Carolina,1192.0,3,84.5,84.5,0.12374,0.14017,-0.03498,0.04899
2014,David Fales,QB,San Jose State,1108.0,2,72.6,77.6,0.14341,0.1316,-0.02653,0.00478
2014,Derek Carr,QB,Fresno State,1909.0,3,76.6,76.6,0.10796,0.14541,-0.0187,0.00487
2014,Garrett Gilbert,QB,SMU,1851.0,3,62.8,62.8,0.0389,0.08379,-0.02739,0.03468
2014,Johnny Manziel,QB,Texas A&M,1293.0,2,86.7,91.3,0.16899,0.15673,-0.01972,0.07533
2014,Keith Wenning,QB,Ball State,1976.0,4,71.6,71.6,0.09064,0.14137,-0.01726,0.004
2014,Logan Thomas,QB,Virginia Tech,1836.0,3,50.6,73.3,0.05027,0.02807,-0.02505,0.01547
2014,Stephen Morris,QB,Miami,939.0,2,71.8,71.8,0.05719,0.06995,-0.02449,-0.00064
2014,Tajh Boyd,QB,Clemson,1915.0,3,77.5,81.8,0.10052,0.11426,-0.02773,0.00856
2014,Teddy Bridgewater,QB,Louisville,1479.0,3,84.0,84.0,0.11528,0.16635,-0.03597,0.0119
2014,Tom Savage,QB,Pittsburgh,895.0,2,64.2,64.2,0.03989,0.06299,-0.04872,0.0057
2014,Zach Mettenberger,QB,LSU,811.0,2,86.8,86.8,0.08052,0.16053,-0.04834,-0.0148
2015,Anthony Boone,QB,Duke,996.0,2,61.3,74.8,0.0739,0.05736,-0.01627,0.03263
2015,Brandon Bridge,QB,South Alabama,437.0,1,33.3,33.3,0.02517,0.02517,-0.03593,0.01167
2015,Brett Hundley,QB,UCLA,1870.0,3,77.0,84.1,0.09893,0.10846,-0.03979,0.04797
2015,Bryce Petty,QB,Baylor,1107.0,2,78.8,86.8,0.11852,0.10377,-0.02367,0.00894
